group	ID	Link	nseqs.orig	sobs.orig	coverage	nseqs.norm	sobs.norm	bergerparker	chao	shannon	simpson	ace
807581g	807581	g	75168	650	0.99863	9945	340	0.082353	577.317073	4.121159	0.029946	784.822421
807581p	807581	p	53053	447	0.99853	9980	280	0.068737	427.171429	4.063693	0.028801	530.94801
807618g	807618	g	56179	510	0.998754	9983	347	0.103877	584.243243	4.229095	0.029549	687.631825
807639g	807639	g	75300	485	0.998938	9975	272	0.125113	449.62069	3.803013	0.045497	517.308213
807639s	807639	s	50109	565	0.998543	9982	399	0.091364	587.886792	4.370438	0.027144	708.448908
807715e	807715	e	70021	558	0.998815	9970	330	0.095486	492.25641	4.234028	0.029467	564.817126
807715g	807715	g	47979	420	0.998541	9968	275	0.168339	434.677419	3.90991	0.048144	532.808995
807715s	807715	s	135830	730	0.999323	9957	351	0.13247	485.692308	4.193096	0.043276	457.73088
807836g	807836	g	75199	537	0.998816	9979	333	0.169055	478.357143	3.939961	0.050371	466.26921
807942g	807942	g	68699	652	0.998646	9940	363	0.101006	622.883721	4.152237	0.031465	752.610145
808232e	808232	e	63822	602	0.998731	9957	382	0.091393	528.653846	4.339029	0.02681	521.609168
808232s	808232	s	60125	623	0.998719	9941	415	0.067901	547.222222	4.536902	0.021263	537.391321
808247g	808247	g	28966	453	0.997307	9990	375	0.179179	591.15	4.1628	0.045995	670.20484
808247s	808247	s	81176	348	0.999125	9964	181	0.163388	277.315789	3.305791	0.072582	311.418821
808440g	808440	g	82572	112	0.9996	9989	46	0.593152	63.5	1.336506	0.406872	90.008306
808440p	808440	p	104078	348	0.999337	9966	164	0.099137	241.214286	3.562929	0.046936	215.469464
808517g	808517	g	42208	520	0.997773	9950	341	0.11809	621.275862	4.124652	0.035078	629.115864
808517p	808517	p	49751	503	0.998211	9961	336	0.083124	571.323529	4.182347	0.030361	647.468108
808517s	808517	s	63104	502	0.998542	9954	287	0.196403	442.2	3.736126	0.064725	405.400201
808539s	808539	s	13516	489	0.992601	9957	489	0.08135	931.188679	4.287672	0.030474	1060.42697
808636g	808636	g	50597	540	0.997569	9962	320	0.108211	636.551724	4.075628	0.036272	813.241266
808636p	808636	p	44796	472	0.997634	9951	299	0.121797	375.346939	4.080274	0.037622	462.549973
808636s	808636	s	43127	626	0.997032	9935	388	0.132964	559.267857	4.122388	0.039933	669.35803
808909g	808909	g	91327	452	0.999234	9959	228	0.212371	350.375	3.297986	0.079646	460.486949
808956s	808956	s	67927	526	0.998808	9952	297	0.073855	436.794118	4.263248	0.025558	499.642808
809162g	809162	g	105452	475	0.999289	9966	236	0.145796	332.28125	3.604829	0.05615	391.906911
809162s	809162	s	48333	321	0.998862	9979	215	0.146207	257	3.622986	0.051886	275.037185
809341e	809341	e	93225	311	0.999571	9981	169	0.214608	297.333333	3.512271	0.066897	343.367655
809341s	809341	s	85106	554	0.99886	9941	275	0.17966	404	3.840526	0.055263	437.609931
809456s	809456	s	56692	438	0.99873	9993	289	0.17192	428.794118	3.853575	0.060248	522.619039
809487g	809487	g	20391	259	0.997205	9955	202	0.184028	314.954545	3.317479	0.077558	364.210421
809574g	809574	g	91172	650	0.999035	9932	322	0.148711	460.75	4.005381	0.043338	537.094248
809574s	809574	s	49328	528	0.998277	9964	350	0.161582	535.352941	3.792615	0.053652	688.034201
809619g	809619	g	51354	146	0.999611	9988	97	0.193032	131.363636	2.933321	0.089835	155.209836
809619s	809619	s	49791	381	0.998574	9962	237	0.397611	341.428571	2.948108	0.176656	434.162015
809723g	809723	g	52459	462	0.998284	9972	294	0.152226	518.294118	3.908433	0.046329	715.229607
809723p	809723	p	60558	418	0.998894	9949	247	0.116092	356.615385	3.980645	0.037148	397.226718
809723s	809723	s	51190	470	0.998242	9971	309	0.110521	494.5	4.064129	0.039743	548.097807
809805g	809805	g	55498	238	0.999568	9998	173	0.116823	290.3	3.474454	0.049785	442.040582
809805s	809805	s	75283	398	0.999083	9993	258	0.098969	368.757576	3.8979	0.039674	439.437146
809900g	809900	g	43754	319	0.99904	9987	238	0.193952	329.636364	3.644266	0.06642	303.173562
809900p	809900	p	51248	435	0.998283	9974	282	0.09214	389.5	4.052574	0.03213	384.189079
809900s	809900	s	66124	292	0.999289	9985	180	0.156635	213.913043	3.551804	0.059793	218.469259
809974s	809974	s	76309	655	0.998467	9950	344	0.097286	549.92	3.892278	0.040619	730.022994
810333g	810333	g	53461	458	0.998747	9987	333	0.13077	560.526316	4.087044	0.037093	659.945787
810333s	810333	s	53320	507	0.998162	9982	328	0.095672	487.638298	4.106253	0.035036	667.476476
810514s	810514	s	51682	256	0.999033	9994	181	0.23394	220.136364	3.390921	0.081308	222.925
810586e	810586	e	78560	376	0.999198	9990	226	0.146146	416.12	3.466081	0.063604	638.412834
810586g	810586	g	92894	433	0.99916	9965	230	0.213447	376.2	3.462675	0.07646	476.607312
810586s	810586	s	89103	447	0.99917	9952	213	0.110028	359.714286	3.688422	0.045518	466.570206
810597g	810597	g	53165	240	0.999229	9988	161	0.12525	218.954545	3.557766	0.04843	271.252775
810597p	810597	p	61409	507	0.998372	9947	276	0.083844	419.035714	4.058888	0.030849	449.344143
810597s	810597	s	44035	574	0.997593	9935	354	0.120483	497.518519	3.955373	0.044981	607.208198
810670g	810670	g	63804	480	0.998699	9958	272	0.083651	392.441176	4.096517	0.028205	465.713896
810730g	810730	g	71738	461	0.998871	9961	252	0.118462	404.291667	3.93812	0.03757	442.216114
810730s	810730	s	66124	439	0.99876	9963	265	0.140118	300.645833	3.979945	0.04213	322.621943
810821g	810821	g	47122	406	0.998324	9959	262	0.177729	542.285714	3.454474	0.069467	519.915646
810821s	810821	s	72229	367	0.998879	9971	193	0.223147	335.058824	3.229045	0.083449	384.900321
810843g	810843	g	63837	299	0.999373	9975	189	0.123108	259.714286	3.662101	0.046783	252.354266
811009g	811009	g	64962	438	0.999015	9954	240	0.148182	351.25	3.523691	0.05686	469.899819
811009p	811009	p	102596	769	0.999396	9916	363	0.070896	625.5	4.418257	0.023821	654.686845
811200s	811200	s	86864	629	0.998561	9941	298	0.123428	460.30303	4.11554	0.035174	541.654872
811366g	811366	g	46642	446	0.998371	9975	288	0.090927	373	4.128094	0.030938	446.307713
811366p	811366	p	60910	229	0.998982	9971	122	0.132584	159.714286	3.351786	0.059829	184.657638
811550g	811550	g	63022	348	0.999476	9973	225	0.238845	310.2	3.220224	0.092148	303.157784
811550s	811550	s	63534	382	0.998725	9965	198	0.116708	315.3	3.667736	0.044579	349.593783
811602g	811602	g	64633	390	0.998654	9955	202	0.161527	310.043478	3.580643	0.054028	356.274188
811602s	811602	s	77993	487	0.999167	9974	297	0.078705	451.583333	4.063146	0.030959	546.690825
811709s	811709	s	47061	431	0.998024	9962	266	0.070869	448.4	3.996731	0.030088	395.59013
811742g	811742	g	78555	620	0.998562	9977	359	0.084795	597.466667	4.181394	0.03024	825.214894
811742p	811742	p	85529	655	0.999041	9932	347	0.100584	446.130435	4.41109	0.027223	510.450479
811959e	811959	e	55533	432	0.998812	9978	286	0.106835	455.941176	3.863846	0.038645	555.742191
811959s	811959	s	72867	473	0.998943	9966	275	0.119807	406.318182	3.684008	0.047549	541.024141
812010g	812010	g	52769	452	0.998446	9986	291	0.159523	416.071429	3.860298	0.048595	534.965285
812010p	812010	p	30641	380	0.998466	10014	333	0.185041	513.02439	3.718075	0.06433	592.401103
812026s	812026	s	84978	276	0.999435	9972	134	0.325411	176	2.983294	0.134166	177.563947
812130g	812130	g	45729	338	0.998666	9967	231	0.133842	307.607143	3.674349	0.053768	305.939474
812130s	812130	s	25511	189	0.998393	9997	148	0.272682	176.7	3.040645	0.105826	200.000538
812445e	812445	e	69549	361	0.99908	9969	221	0.192296	305.285714	3.417451	0.079755	277.804995
812445g	812445	g	52923	443	0.998375	9976	286	0.126704	359.886792	3.781574	0.046693	444.584456
812445s	812445	s	72240	518	0.998934	9965	333	0.065329	443.25	4.39878	0.021964	523.163002
812536g	812536	g	65260	548	0.998177	9949	303	0.160318	467.15625	4.030085	0.043129	522.634904
812652g	812652	g	54536	496	0.998166	9990	318	0.104204	604.875	3.977572	0.038462	777.014543
812652p	812652	p	54680	527	0.998427	9974	341	0.151293	635.441176	4.01324	0.044905	787.334053
812776s	812776	s	48968	316	0.998632	9975	198	0.168722	315.3	3.327964	0.07322	291.687313
812821g	812821	g	45194	553	0.99792	9962	366	0.109516	548.666667	4.144318	0.035102	702.731515
812821p	812821	p	37450	345	0.998371	10006	284	0.090346	420.486486	4.082716	0.030176	542.676218
812856e	812856	e	22590	453	0.995972	9957	362	0.10003	499.565217	4.256762	0.033153	566.97561
812856s	812856	s	62554	496	0.998385	9949	252	0.109559	341.756757	3.778831	0.04374	352.837138
813611g	813611	g	36486	361	0.997972	10009	287	0.198122	477.78125	3.742743	0.060548	553.923162
813652s	813652	s	76310	606	0.99886	9959	329	0.129531	615.081081	4.028437	0.040689	859.060015
813665e	813665	e	46983	408	0.998361	9954	251	0.116938	407.107143	3.818359	0.040339	485.424972
813665g	813665	g	77978	572	0.998512	9974	311	0.161219	454.560976	3.979185	0.048958	583.395506
813665s	813665	s	36110	324	0.99856	10006	272	0.100839	596.545455	3.971381	0.031912	714.543323
813936s	813936	s	67765	301	0.998952	9973	162	0.173769	240	3.316355	0.071267	290.889019
813950g	813950	g	71411	472	0.99916	9966	265	0.157335	455.272727	3.753411	0.051154	371.844416
813950p	813950	p	76997	233	0.999584	9984	141	0.160557	207.352941	3.213717	0.070959	253.464225
814251s	814251	s	20168	220	0.997719	9962	174	0.222345	255.47619	3.399732	0.074455	337.796742
814480g	814480	g	61735	695	0.998753	9919	405	0.075915	544.451613	4.472829	0.022214	659.210827
814536g	814536	g	84205	452	0.999216	9967	253	0.084077	380.6	3.913394	0.035808	481.248226
814536p	814536	p	61235	478	0.998661	9956	297	0.128666	411.428571	4.20814	0.032906	468.298907
814536s	814536	s	49654	431	0.998389	9972	280	0.108404	532.115385	3.91351	0.038796	599.254513
814992g	814992	g	48141	571	0.998234	9954	381	0.119048	653.560976	4.291574	0.03137	797.713308
814992p	814992	p	54318	584	0.998619	9972	383	0.068091	681.682927	4.311875	0.025163	842.819665
814992s	814992	s	80640	648	0.998996	9924	337	0.156389	514	3.964179	0.047119	565.614092
815065s	815065	s	39432	246	0.999011	10019	207	0.264098	379.444444	3.078536	0.101838	632.428876
815145g	815145	g	65334	421	0.99925	9961	232	0.178095	315.025	3.588988	0.057122	339.554424
815145s	815145	s	70168	324	0.999131	9983	194	0.097967	312.1875	3.873163	0.033483	331.374509
815170g	815170	g	67462	451	0.998859	9965	248	0.150125	476.391304	3.604042	0.058545	540.021007
815170s	815170	s	54160	507	0.998357	9971	341	0.13088	574.926829	3.929982	0.042387	758.796155
815183g	815183	g	62436	423	0.998975	9964	262	0.145424	373	4.056674	0.03812	342.219372
815413g	815413	g	86076	279	0.999419	9965	135	0.17993	223	3.274397	0.073645	193.69361
815703g	815703	g	64351	732	0.998446	9925	389	0.103275	614.188679	4.223701	0.031337	802.992912
815703p	815703	p	75484	505	0.999152	9965	273	0.119217	483	3.813525	0.045216	561.192171
815776g	815776	g	47996	249	0.998812	9977	155	0.128696	190.285714	3.467341	0.053893	195.529832
815776p	815776	p	48955	485	0.998284	9952	321	0.092846	478.763158	4.216575	0.029557	569.40657
815860g	815860	g	107068	802	0.998935	9916	336	0.117184	639.363636	3.993438	0.041298	750.376421
815860s	815860	s	52011	458	0.998577	9985	316	0.110065	494.5	3.958207	0.038819	595.183385
816130g	816130	g	88593	420	0.999244	9961	217	0.266138	313.464286	3.398811	0.095741	391.008528
816833g	816833	g	83174	517	0.998762	9956	274	0.107875	392.5	4.08092	0.032016	357.35354
816833p	816833	p	49231	200	0.99937	9992	141	0.18705	198.5	3.207609	0.075433	303.524753
816892g	816892	g	55143	536	0.997933	9986	352	0.229922	622.947368	3.822012	0.073744	734.101301
816944s	816944	s	44731	378	0.998323	9951	235	0.194051	358.913043	3.590111	0.065128	324.759654
816961s	816961	s	41718	429	0.99825	9953	285	0.102582	400.5	4.05925	0.03311	525.271935
816983g	816983	g	45171	519	0.997698	9962	335	0.195844	460.666667	3.726078	0.068083	583.839129
817282g	817282	g	46383	316	0.9989	9979	204	0.108829	263.032258	3.395295	0.057365	266.505968
817416g	817416	g	64302	413	0.999129	9971	268	0.184936	343.176471	3.835369	0.058119	390.263469
817416p	817416	p	74252	513	0.998586	9965	291	0.116006	431	3.876849	0.042119	545.139754
817416s	817416	s	84872	466	0.99914	9953	249	0.150005	307.717391	3.867079	0.043118	332.895938
817436e	817436	e	68503	304	0.999445	9978	177	0.128282	409.363636	3.739381	0.038452	470.452175
817436s	817436	s	82888	537	0.999385	9941	291	0.153908	466.777778	3.776321	0.04845	572.760691
817634g	817634	g	95850	234	0.999395	9980	106	0.253607	165.5	2.598128	0.127939	173.217724
817708e	817708	e	35023	456	0.997173	10016	357	0.167831	952.12	3.735443	0.064548	1073.311799
817708s	817708	s	41628	413	0.998511	9949	267	0.089758	387	3.802918	0.039946	486.436302
817811g	817811	g	93829	444	0.999158	9967	245	0.10896	368.103448	3.827313	0.042108	433.98579
817811p	817811	p	72316	217	0.999322	9984	126	0.225661	171.15	2.843604	0.10197	213.267913
