group	ID	Link	nseqs.orig	sobs.orig	coverage	nseqs.norm	sobs.norm	bergerparker	chao	shannon	simpson	ace
825077g	825077	g	53644	444	0.998807	9982	317	0.131336	513.176471	4.087206	0.036748	583.452739
825077p	825077	p	54535	277	0.999377	10003	217	0.13306	363	3.58261	0.056812	397.955991
825098g	825098	g	54610	479	0.99837	9984	306	0.259515	471.512195	3.54153	0.092915	650.377708
825216g	825216	g	74290	154	0.999798	9992	97	0.209067	124	2.875029	0.091346	145.767429
825444g	825444	g	94670	360	0.999356	9966	204	0.207706	312.5	3.491025	0.069212	331.998234
825647g	825647	g	54458	259	0.999082	9992	170	0.158427	389	3.287186	0.063205	467.866839
825836s	825836	s	46555	414	0.998088	9972	259	0.214902	382.483871	3.739574	0.066795	466.676727
825908g	825908	g	83781	354	0.999236	9972	204	0.109306	261	3.646209	0.045848	264.568358
825908p	825908	p	80315	729	0.998419	9919	376	0.105555	628.394737	4.305126	0.03155	698.645078
826191g	826191	g	52033	277	0.998847	9983	175	0.25313	274.75	3.067465	0.104192	241.148506
826288s	826288	s	60829	604	0.998356	9914	325	0.083518	476.666667	4.212178	0.031298	529.024589
826564g	826564	g	60940	548	0.997982	9934	287	0.145259	408.871795	3.7591	0.054378	489.261365
826567e	826567	e	33978	424	0.997704	10006	346	0.143614	632.028571	3.743917	0.056374	667.815337
826567s	826567	s	53882	337	0.998534	9979	206	0.201423	346.045455	3.339047	0.083777	441.254976
826574e	826574	e	77876	286	0.999307	9978	158	0.156144	251.882353	3.537624	0.050674	347.421197
826574g	826574	g	42764	370	0.998784	9980	274	0.152806	383.774194	3.743319	0.05802	367.226087
826574p	826574	p	32062	165	0.998908	9997	130	0.131239	180.214286	3.245367	0.060236	175.940357
826574s	826574	s	100437	374	0.999343	9964	184	0.137094	254.037037	3.410031	0.058885	323.957441
826598g	826598	g	81252	496	0.999028	9950	251	0.138392	413.652174	3.883925	0.044713	461.688792
826853g	826853	g	54226	269	0.999004	9990	173	0.117618	299.176471	3.386868	0.056164	393.069335
826853s	826853	s	56205	583	0.998452	9983	404	0.106982	689.3125	4.272289	0.031058	875.240598
827001g	827001	g	60882	337	0.998932	9967	191	0.189826	297.105263	3.472202	0.080656	365.834374
827001s	827001	s	96643	240	0.99971	9983	128	0.214965	290.714286	2.640196	0.110278	481.202743
827107g	827107	g	76287	382	0.999423	9971	215	0.378598	352.391304	3.025415	0.15947	421.161121
827503g	827503	g	93790	224	0.999616	9982	117	0.460329	174	2.463363	0.229551	215.285284
827503s	827503	s	59344	286	0.999242	9996	199	0.143057	273.285714	3.497812	0.055274	331.101708
827932s	827932	s	42986	416	0.998418	9960	281	0.100803	377.486486	3.970779	0.038607	432.940913
828000s	828000	s	79995	508	0.999112	9984	270	0.110276	498.6	3.590313	0.048202	733.575408
828168g	828168	g	31629	447	0.996522	9992	337	0.076461	542.857143	4.180393	0.028648	719.210435
828168s	828168	s	61160	311	0.998839	9970	175	0.232798	256.052632	3.316326	0.081574	293.85163
828316g	828316	g	73429	616	0.998556	9971	371	0.052552	601.560976	4.398819	0.021918	714.689054
828545g	828545	g	44641	522	0.997872	9949	328	0.24505	471.133333	3.67901	0.077987	466.619536
828682s	828682	s	28225	296	0.997697	9981	231	0.182948	378.230769	3.237684	0.087609	455.099962
828705g	828705	g	42659	379	0.998547	9957	239	0.180275	422.333333	3.174371	0.086914	496.66515
828896g	828896	g	66407	462	0.999081	9958	258	0.106547	350.25	3.724219	0.048254	353.755384
828896p	828896	p	52111	517	0.99833	9970	328	0.133902	606.27027	3.992194	0.040067	791.424861
828957g	828957	g	91900	230	0.999706	9984	134	0.534054	188.076923	2.446754	0.293518	250.931068
829040g	829040	g	81144	332	0.999335	9965	183	0.102659	261.157895	3.716546	0.041315	309.248875
829266g	829266	g	67228	321	0.999316	9976	198	0.109463	390.5625	3.729637	0.041832	478.890039
