OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Otu03596	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis
Otu03597	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	hathewayi
Otu03598	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
Otu03599	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03600	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu03601	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	bromii
Otu03602	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu03603	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03604	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified
Otu03605	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu03606	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	unclassified	unclassified
Otu03607	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
Otu03608	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified
Otu03609	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu03610	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03611	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu03612	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03613	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	longicatena
Otu03614	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
